artist,song,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,H_or_N
Mitski,My Love Mine All Mine,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,0.504,0.308,9,-14.958,1,0.0321,0.868,0.135,0.158,0.121,113.95,audio_features,3vkCueOmm7xQDoJ17W1Pm3,spotify:track:3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3,https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3,137773,4,H
Dan + Shay,Save Me The Trouble,spotify:track:42fw0rxRO2xbesF6mJfd4Y,0.489,0.581,11,-5.731,1,0.0281,0.0312,0.0,0.132,0.494,86.016,audio_features,42fw0rxRO2xbesF6mJfd4Y,spotify:track:42fw0rxRO2xbesF6mJfd4Y,https://api.spotify.com/v1/tracks/42fw0rxRO2xbesF6mJfd4Y,https://api.spotify.com/v1/audio-analysis/42fw0rxRO2xbesF6mJfd4Y,196747,4,H
Tate McRae,Exes,spotify:track:3rUGC1vUpkDG9CZFHMur1t,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872,1,H
Travis Scott,I Know ?,spotify:track:6wsqVwoiVH2kde4k4KKAFU,0.927,0.619,5,-4.441,0,0.0539,0.0186,0.0,0.104,0.817,117.995,audio_features,6wsqVwoiVH2kde4k4KKAFU,spotify:track:6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/tracks/6wsqVwoiVH2kde4k4KKAFU,https://api.spotify.com/v1/audio-analysis/6wsqVwoiVH2kde4k4KKAFU,211582,4,H
Jessie Murph & Jelly Roll,Wild Ones,spotify:track:2kE2HFBFkJ0VMw3igxYohz,0.65,0.689,0,-3.543,1,0.0449,0.0878,0.0,0.172,0.294,136.03,audio_features,2kE2HFBFkJ0VMw3igxYohz,spotify:track:2kE2HFBFkJ0VMw3igxYohz,https://api.spotify.com/v1/tracks/2kE2HFBFkJ0VMw3igxYohz,https://api.spotify.com/v1/audio-analysis/2kE2HFBFkJ0VMw3igxYohz,142520,4,H
Kenya Grace,Strangers,spotify:track:5mjYQaktjmjcMKcUIcqz4s,0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,audio_features,5mjYQaktjmjcMKcUIcqz4s,spotify:track:5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/tracks/5mjYQaktjmjcMKcUIcqz4s,https://api.spotify.com/v1/audio-analysis/5mjYQaktjmjcMKcUIcqz4s,172965,4,H
Bad Bunny,Monaco,spotify:track:0rY6m2panPvhv1wzB5AAkN,0.577,0.573,1,-8.353,1,0.471,0.0245,0.0,0.501,0.319,137.492,audio_features,0rY6m2panPvhv1wzB5AAkN,spotify:track:0rY6m2panPvhv1wzB5AAkN,https://api.spotify.com/v1/tracks/0rY6m2panPvhv1wzB5AAkN,https://api.spotify.com/v1/audio-analysis/0rY6m2panPvhv1wzB5AAkN,135909,4,H
JID Featuring 21 Savage & Baby Tate,Surround Sound,spotify:track:1udwFobQ1JoOdWPQrp2b6u,0.575,0.56,5,-7.302,1,0.478,0.173,0.0,0.257,0.471,75.956,audio_features,1udwFobQ1JoOdWPQrp2b6u,spotify:track:1udwFobQ1JoOdWPQrp2b6u,https://api.spotify.com/v1/tracks/1udwFobQ1JoOdWPQrp2b6u,https://api.spotify.com/v1/audio-analysis/1udwFobQ1JoOdWPQrp2b6u,229938,4,H
Cody Johnson,The Painter,spotify:track:6UoKX6uLJwhsnyTp5k5StP,0.512,0.709,2,-5.766,1,0.0329,0.0415,4.25e-06,0.107,0.261,97.981,audio_features,6UoKX6uLJwhsnyTp5k5StP,spotify:track:6UoKX6uLJwhsnyTp5k5StP,https://api.spotify.com/v1/tracks/6UoKX6uLJwhsnyTp5k5StP,https://api.spotify.com/v1/audio-analysis/6UoKX6uLJwhsnyTp5k5StP,211413,4,H
Olivia Rodrigo,Get Him Back!,spotify:track:4Qkv9efATrhTVnolN2OJ5C,0.699,0.608,5,-8.11,1,0.039,0.0293,0.832,0.105,0.77,162.033,audio_features,4Qkv9efATrhTVnolN2OJ5C,spotify:track:4Qkv9efATrhTVnolN2OJ5C,https://api.spotify.com/v1/tracks/4Qkv9efATrhTVnolN2OJ5C,https://api.spotify.com/v1/audio-analysis/4Qkv9efATrhTVnolN2OJ5C,208735,4,H
Flo Milli,Never Lose Me,spotify:track:2lXQX3uhFHRYGBE6xR3tic,0.786,0.504,1,-7.678,1,0.0938,0.0332,0.0,0.0979,0.346,121.967,audio_features,2lXQX3uhFHRYGBE6xR3tic,spotify:track:2lXQX3uhFHRYGBE6xR3tic,https://api.spotify.com/v1/tracks/2lXQX3uhFHRYGBE6xR3tic,https://api.spotify.com/v1/audio-analysis/2lXQX3uhFHRYGBE6xR3tic,165246,4,H
Noah Kahan With Post Malone,Dial Drunk,spotify:track:22VHOlVYBqytsrAqV8yXBK,0.667,0.613,8,-7.147,1,0.0313,0.121,0.0,0.113,0.681,112.046,audio_features,22VHOlVYBqytsrAqV8yXBK,spotify:track:22VHOlVYBqytsrAqV8yXBK,https://api.spotify.com/v1/tracks/22VHOlVYBqytsrAqV8yXBK,https://api.spotify.com/v1/audio-analysis/22VHOlVYBqytsrAqV8yXBK,213817,4,H
Luke Combs,Where The Wild Things Are,spotify:track:0eBFgRxyVSeuT4iyrbukdn,0.708,0.731,3,-4.872,1,0.0345,0.0189,4.47e-06,0.129,0.379,116.975,audio_features,0eBFgRxyVSeuT4iyrbukdn,spotify:track:0eBFgRxyVSeuT4iyrbukdn,https://api.spotify.com/v1/tracks/0eBFgRxyVSeuT4iyrbukdn,https://api.spotify.com/v1/audio-analysis/0eBFgRxyVSeuT4iyrbukdn,239533,4,H
Drake,You Broke My Heart,spotify:track:2FBo7mg3It3YOefMhBKk60,0.465,0.713,10,-5.205,0,0.0796,0.191,0.0,0.299,0.329,123.872,audio_features,2FBo7mg3It3YOefMhBKk60,spotify:track:2FBo7mg3It3YOefMhBKk60,https://api.spotify.com/v1/tracks/2FBo7mg3It3YOefMhBKk60,https://api.spotify.com/v1/audio-analysis/2FBo7mg3It3YOefMhBKk60,230709,4,H
Drake Featuring Yeat,IDGAF,spotify:track:6G4q8Qb7CQP5gVtzQNK0zT,0.68,0.659,8,-8.447,1,0.237,0.0344,0.000205,0.205,0.157,136.944,audio_features,6G4q8Qb7CQP5gVtzQNK0zT,spotify:track:6G4q8Qb7CQP5gVtzQNK0zT,https://api.spotify.com/v1/tracks/6G4q8Qb7CQP5gVtzQNK0zT,https://api.spotify.com/v1/audio-analysis/6G4q8Qb7CQP5gVtzQNK0zT,260111,4,H
Fuerza Regida & Marshmello,Harley Quinn,spotify:track:6sMPFkWOGqEGBqnHEZ2jfy,0.795,0.762,5,-5.482,0,0.111,0.0643,0.00461,0.261,0.638,125.044,audio_features,6sMPFkWOGqEGBqnHEZ2jfy,spotify:track:6sMPFkWOGqEGBqnHEZ2jfy,https://api.spotify.com/v1/tracks/6sMPFkWOGqEGBqnHEZ2jfy,https://api.spotify.com/v1/audio-analysis/6sMPFkWOGqEGBqnHEZ2jfy,143327,4,H
Parker McCollum,Burn It Down,spotify:track:4bARASJEokNacSYtEhoNBp,0.484,0.753,2,-5.23,1,0.0503,0.11,5.95e-06,0.193,0.281,80.995,audio_features,4bARASJEokNacSYtEhoNBp,spotify:track:4bARASJEokNacSYtEhoNBp,https://api.spotify.com/v1/tracks/4bARASJEokNacSYtEhoNBp,https://api.spotify.com/v1/audio-analysis/4bARASJEokNacSYtEhoNBp,216673,4,H
