artist,song,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,H_or_N
M.O.P.,Cold as Ice,spotify:track:7vidktgNZFQylTgH1GEnMs,0.562,0.609,3,-7.063,0,0.0271,0.0264,0.0,0.17,0.512,130.753,audio_features,7vidktgNZFQylTgH1GEnMs,spotify:track:7vidktgNZFQylTgH1GEnMs,https://api.spotify.com/v1/tracks/7vidktgNZFQylTgH1GEnMs,https://api.spotify.com/v1/audio-analysis/7vidktgNZFQylTgH1GEnMs,200213,4,N
Melanie C,I Turn To You,spotify:track:5x5zRAJy1a8lSKWCCKSCIH,0.638,0.955,6,-2.247,1,0.0274,0.00786,0.000128,0.16,0.6,137.987,audio_features,5x5zRAJy1a8lSKWCCKSCIH,spotify:track:5x5zRAJy1a8lSKWCCKSCIH,https://api.spotify.com/v1/tracks/5x5zRAJy1a8lSKWCCKSCIH,https://api.spotify.com/v1/audio-analysis/5x5zRAJy1a8lSKWCCKSCIH,252493,4,N
Limp Bizkit,Take A Look Around,spotify:track:2avKuMN2QXkaG9vvHa2JLt,0.425,0.852,11,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968,audio_features,2avKuMN2QXkaG9vvHa2JLt,spotify:track:2avKuMN2QXkaG9vvHa2JLt,https://api.spotify.com/v1/tracks/2avKuMN2QXkaG9vvHa2JLt,https://api.spotify.com/v1/audio-analysis/2avKuMN2QXkaG9vvHa2JLt,321040,4,N
Darude,Sandstorm,spotify:track:3dxDj8pDPlIHCIrUPXuCeG,0.532,0.967,11,-7.977,0,0.0457,0.146,0.985,0.115,0.59,136.083,audio_features,3dxDj8pDPlIHCIrUPXuCeG,spotify:track:3dxDj8pDPlIHCIrUPXuCeG,https://api.spotify.com/v1/tracks/3dxDj8pDPlIHCIrUPXuCeG,https://api.spotify.com/v1/audio-analysis/3dxDj8pDPlIHCIrUPXuCeG,225667,4,N
Da Brat,What'chu Like (feat. Tyrese),spotify:track:5d8woPn6sHRA6yPnnHnqSt,0.879,0.681,10,-8.951,0,0.24,0.017,0.0,0.0669,0.817,99.974,audio_features,5d8woPn6sHRA6yPnnHnqSt,spotify:track:5d8woPn6sHRA6yPnnHnqSt,https://api.spotify.com/v1/tracks/5d8woPn6sHRA6yPnnHnqSt,https://api.spotify.com/v1/audio-analysis/5d8woPn6sHRA6yPnnHnqSt,221160,4,N
Moloko,The Time Is Now,spotify:track:6caODjFlH5iakvYJIrhATv,0.682,0.743,9,-10.644,0,0.165,0.35,0.000129,0.277,0.546,127.962,audio_features,6caODjFlH5iakvYJIrhATv,spotify:track:6caODjFlH5iakvYJIrhATv,https://api.spotify.com/v1/tracks/6caODjFlH5iakvYJIrhATv,https://api.spotify.com/v1/audio-analysis/6caODjFlH5iakvYJIrhATv,318280,4,N
Chicane,Don't Give Up,spotify:track:0zjORbo98bRxMmyS3wzeKW,0.644,0.72,10,-9.635,0,0.0419,0.00145,0.504,0.0839,0.53,132.017,audio_features,0zjORbo98bRxMmyS3wzeKW,spotify:track:0zjORbo98bRxMmyS3wzeKW,https://api.spotify.com/v1/tracks/0zjORbo98bRxMmyS3wzeKW,https://api.spotify.com/v1/audio-analysis/0zjORbo98bRxMmyS3wzeKW,210787,4,N
DMX,Party Up,spotify:track:0LWkaEyQRkF0XAms8Bg1fC,0.51,0.931,11,-3.302,1,0.347,0.0738,0.0,0.5,0.53,201.936,audio_features,0LWkaEyQRkF0XAms8Bg1fC,spotify:track:0LWkaEyQRkF0XAms8Bg1fC,https://api.spotify.com/v1/tracks/0LWkaEyQRkF0XAms8Bg1fC,https://api.spotify.com/v1/audio-analysis/0LWkaEyQRkF0XAms8Bg1fC,268867,4,N
Debelah Morgan,Dance with Me,spotify:track:2JA9FN9TVVhFN41oEZEY9v,0.852,0.682,7,-7.543,0,0.0358,0.267,0.00139,0.0337,0.724,115.003,audio_features,2JA9FN9TVVhFN41oEZEY9v,spotify:track:2JA9FN9TVVhFN41oEZEY9v,https://api.spotify.com/v1/tracks/2JA9FN9TVVhFN41oEZEY9v,https://api.spotify.com/v1/audio-analysis/2JA9FN9TVVhFN41oEZEY9v,220920,4,N
Madonna,Music,spotify:track:2BcOZ4vOeu2qZowIHrvTYy,0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,audio_features,2BcOZ4vOeu2qZowIHrvTYy,spotify:track:2BcOZ4vOeu2qZowIHrvTYy,https://api.spotify.com/v1/tracks/2BcOZ4vOeu2qZowIHrvTYy,https://api.spotify.com/v1/audio-analysis/2BcOZ4vOeu2qZowIHrvTYy,225973,4,N
